uuid|id|name|uuid_shop|
050e55cd-2d44-11ee-914a-7085c281e0ea|ЦБ-000283|Транзит - Таганская - Петровский|1fd9acf0-2d43-11ee-914a-7085c281e0ea|
1e0ad0c5-2d44-11ee-914a-7085c281e0ea|ЦБ-000284|Транзит Петровский - Дорогомиловская|82be1061-22a4-11eb-910f-7085c281e0ea|
3444b317-2d44-11ee-914a-7085c281e0ea|ЦБ-000285|Транзит Петровский - Долгоруковская|547b8208-c5c0-11e9-90f7-7085c281e0ea|
452ab04d-2d44-11ee-914a-7085c281e0ea|ЦБ-000286|Транзит Петровский - Павелецкая|26fa593e-4ef4-11ed-913f-7085c281e0ea|
5d5dd7e7-2d44-11ee-914a-7085c281e0ea|ЦБ-000287|Транзит Петровский - Таганская|2210c829-4c48-11ec-911a-7085c281e0ea|
268fb8e0-2d45-11ee-914a-7085c281e0ea|ЦБ-000288|Транзит Петровский - Москва|052c460c-d55f-11e9-90fb-7085c281e0ea|
a8d3e4b3-48c6-11ee-914f-7085c281e0ea|ЦБ-000289|Зал продаж "Кафе" (Москва, Петровский, 21)|1fd9acf0-2d43-11ee-914a-7085c281e0ea|
45528bc3-67b9-11ee-914f-7085c281e0ea|ЦБ-000290|Склад "Кафе" (Москва, Большая Дорогомиловская, 8)|82be1061-22a4-11eb-910f-7085c281e0ea|
6c8b6b51-67b9-11ee-914f-7085c281e0ea|ЦБ-000291|Зал продаж "Кафе" (Большая Дорогомиловская, 8)|82be1061-22a4-11eb-910f-7085c281e0ea|
05dc1969-9dc9-11ee-9150-7085c281e0ea|ЦБ-000294|Склад Контент|dd59626c-16e6-11ed-913a-7085c281e0ea|
0c957e56-9dc9-11ee-9150-7085c281e0ea|ЦБ-000295|Склад Обтравка|dd59626c-16e6-11ed-913a-7085c281e0ea|
72a3b825-9dc9-11ee-9150-7085c281e0ea|ЦБ-000296|Транзит ММ - ЦС|052c460c-d55f-11e9-90fb-7085c281e0ea|
7b5dc02d-9dc9-11ee-9150-7085c281e0ea|ЦБ-000297|Подготовка Обтравка|052c460c-d55f-11e9-90fb-7085c281e0ea|
e6559075-a047-11ee-9150-7085c281e0ea|ЦБ-000298|Склад "Кафе" (Москва, Долгоруковская, 40)|547b8208-c5c0-11e9-90f7-7085c281e0ea|
2249050a-a048-11ee-9150-7085c281e0ea|ЦБ-000299|Зал продаж "Кафе (Москва, Долгоруковская, 40)|547b8208-c5c0-11e9-90f7-7085c281e0ea|
132aa57e-e286-11ee-9154-7085c281e0ea|ЦБ-000300|Склад поступлений (ИП Соколова)|052c460c-d55f-11e9-90fb-7085c281e0ea|
1de7e567-ea94-11ee-9154-7085c281e0ea|ЦБ-000301|Склад (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
1de7e568-ea94-11ee-9154-7085c281e0ea|ЦБ-000302|Зал продаж (Калужская, 1)|1de7e566-ea94-11ee-9154-7085c281e0ea|
