num|sum|
3000000000342|1000|
3000000000472|1000|
3000000000526|1000|
3000000000700|1000|
3000000007501|1000|
3000000007570|1000|
3000000007617|1000|
3000000007761|1000|
3000000007808|1000|
3000000008027|1000|
3000000008065|1000|
3000000008072|1000|
3000000008096|1000|
3000000008102|1000|
3000000008430|1000|
3000000008904|1000|
3000000008911|1000|
3000000100127|1000|
3000000100226|1000|
3000000100257|1000|
3000000100394|1000|
3000000100424|1000|
3000000100530|1000|
3000000100585|1000|
3000000100592|1000|
3000000100608|1000|
3000000100776|1000|
3000000100790|1000|
3000000100844|1000|
3000000101117|1000|
3000000101155|1000|
3000000101346|1000|
3000000101384|1000|
3000000101681|1000|
3000000101773|1000|
3000000101834|1000|
3000000101896|1000|
2300000111538|1000|
2300000111552|1000|
2300000111811|1000|
2300000111835|1000|
2300000111866|1000|
2300000111873|1000|
2300000112139|1000|
2300000112368|1000|
2300000112382|1000|
2300000112399|1000|
2300000112405|1000|
2300000112818|1000|
2300000113099|1000|
2300000113181|1000|
2300000113297|1000|
2300000113433|1000|
2300000113617|1000|
2300000113723|1000|
2300000113785|1000|
2300000113792|1000|
2300000113853|1000|
2300000113860|1000|
2300000113877|1000|
2300000113884|1000|
2300000113891|1000|
2300000113907|1000|
2300000113914|1000|
2300000113921|1000|
2300000113938|1000|
2300000113945|1000|
2300000113983|1000|
2300000114126|1000|
2300000114157|1000|
2300000114331|1000|
2300000114362|1000|
2300000114423|1000|
3100000105075|1000|
3100000105082|1000|
3100000105822|1000|
3100000106065|1000|
3100000106713|1000|
3100000107000|1000|
3100000107321|1000|
3100000107338|1000|
3100000107369|1000|
3100000107383|1000|
3100000107390|1000|
3000000100417|1000|
3000000002162|2000|
3000000002391|2000|
3000000002421|2000|
3000000002445|2000|
3000000002728|2000|
3000000009796|2000|
3000000009857|2000|
3000000009864|2000|
3000000009871|2000|
3000000009901|2000|
3000000010082|2000|
3000000010549|2000|
3000000010808|2000|
3000000010914|2000|
3000000010945|2000|
3000000011348|2000|
3000000011386|2000|
3000000011409|2000|
3000000011416|2000|
3000000011430|2000|
3000000011447|2000|
3000000011461|2000|
3000000102022|2000|
3000000102053|2000|
3000000102329|2000|
3000000102534|2000|
3000000102541|2000|
3000000102565|2000|
3000000102749|2000|
3000000102763|2000|
3000000103418|2000|
3000000103524|2000|
3000000103555|2000|
3000000103647|2000|
3000000103654|2000|
3000000103753|2000|
3000000104095|2000|
3000000104231|2000|
3000000104941|2000|
3000000104996|2000|
3000000105016|2000|
3000000105023|2000|
3000000105115|2000|
3000000105221|2000|
3000000105238|2000|
3000000105276|2000|
3000000105504|2000|
3000000105610|2000|
3000000105672|2000|
3000000105900|2000|
2300002450055|2000|
2300002450079|2000|
2300002450239|2000|
2300002450260|2000|
2300002450338|2000|
2300002450352|2000|
2300002450413|2000|
2300002450420|2000|
2300002450574|2000|
2300002450581|2000|
2300002450987|2000|
2300002450994|2000|
2300002451083|2000|
2300002451120|2000|
2300002451151|2000|
2300002451274|2000|
2300002451472|2000|
2300002451632|2000|
2300002451724|2000|
2300002451748|2000|
2300002452127|2000|
2300002452158|2000|
2300002452301|2000|
2300002452356|2000|
2300002452363|2000|
2300002452370|2000|
2300002452646|2000|
2300002452660|2000|
2300002452882|2000|
